epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.536,3.24358,5.84895,13.099,2.08566,0,0,0,0,0,0,0,0,3.15951,3.5083,6.4617,2.49838,5.716e-05,5.716e-05,5.716e-05
2,19.7505,3.49156,4.74001,14.1888,2.06098,0,0,0,0,0.00023,0.16667,0.00039,4e-05,2.97914,4.41284,6.18716,2.15958,0.000126064,0.000126064,0.000126064
3,21.1385,2.45851,3.60153,11.1308,1.62807,0,0,0,0,0,0,0,0,2.37436,5.09033,6.91727,1.81375,0.000192138,0.000192138,0.000192138
4,22.2753,2.23056,3.26061,17.078,1.33164,0.00022,0.16667,0.00018,4e-05,0.00022,0.16667,0.00018,2e-05,3.29889,6.02051,7.67029,2.19307,0.000255382,0.000255382,0.000255382
5,23.5349,2.93815,4.25056,9.89591,1.832,0,0,0,0,0.00048,0.33333,0.16581,0.01658,3.5047,5.72021,7.94468,2.19503,0.000315798,0.000315798,0.000315798
6,24.7565,2.58498,3.41793,10.2674,1.61111,0.00023,0.16667,0.00139,0.00042,0.00072,0.5,0.01404,0.00337,3.15969,5.62134,7.71192,2.16066,0.000373383,0.000373383,0.000373383
7,26.302,3.03019,2.95721,16.409,1.55344,0,0,0,0,0,0,0,0,3.32596,6.96533,7.66593,3.27826,0.00042814,0.00042814,0.00042814
8,27.4747,2.85112,3.4651,7.97743,1.79486,0,0,0,0,0.00021,0.16667,0.00017,2e-05,3.32333,8.06396,7.57543,3.60648,0.000480067,0.000480067,0.000480067
9,28.6622,2.80488,3.28106,14.4151,1.71858,0,0,0,0,0,0,0,0,3.92406,4.28101,7.54495,2.87268,0.000529164,0.000529164,0.000529164
10,32.513,2.87616,3.25168,12.2697,1.64481,0,0,0,0,0.00019,0.33333,0.01327,0.00265,3.52757,4.51538,9.22871,2.35882,0.000575433,0.000575433,0.000575433
11,33.722,2.86589,3.39893,8.68577,1.79453,0.00021,0.16667,0.00077,8e-05,0.00017,0.33333,0.00142,0.00039,3.92468,5.17456,7.7908,2.65953,0.000618871,0.000618871,0.000618871
12,35.0569,2.7404,3.97924,10.2716,1.60582,0.00019,0.16667,0.00201,0.0011,0.00016,0.33333,0.00036,4e-05,3.35169,4.85596,9.0551,2.56198,0.000659481,0.000659481,0.000659481
13,36.2562,2.64368,3.17083,11.7622,1.65871,0.00019,0.16667,0.00328,0.00082,0,0,0,0,3.54333,5.21484,7.38332,3.14554,0.000697261,0.000697261,0.000697261
14,37.3686,3.40815,2.86998,11.5409,2.09716,0.00019,0.16667,0.01183,0.00124,0,0,0,0,3.48501,5.37964,6.70163,3.20656,0.000732211,0.000732211,0.000732211
15,38.4901,3.00159,3.33455,12.203,1.80781,0.00018,0.16667,0.16505,0.0165,0.00018,0.16667,0.16505,0.04956,3.3893,7.90283,6.49904,3.66375,0.000764332,0.000764332,0.000764332
16,39.59,3.34642,4.45961,9.60434,1.9106,0,0,0,0,0.0002,0.16667,0.16505,0.04952,3.23912,8.59863,6.44504,2.8742,0.000793624,0.000793624,0.000793624
17,40.8966,3.25903,3.70086,11.6034,1.91406,0,0,0,0,0.00023,0.16667,0.16506,0.03301,4.06352,4.63623,7.81607,2.27923,0.000820086,0.000820086,0.000820086
18,42.0111,2.7055,2.67463,9.02677,1.78333,0.00022,0.16667,0.01037,0.00311,0.00022,0.16667,0.16506,0.03612,3.79204,5.13428,7.13805,2.55531,0.000843719,0.000843719,0.000843719
19,43.1399,2.98282,3.9389,9.50923,2.02043,0.00021,0.16667,0.02068,0.00827,0.00021,0.16667,0.16505,0.02271,3.82827,6.46729,6.50764,3.16762,0.000864522,0.000864522,0.000864522
20,44.2364,2.35991,2.42384,12.8668,1.45263,0.0002,0.16667,0.16505,0.03301,0.0002,0.16667,0.16505,0.03301,3.66005,6.25488,5.83287,3.27083,0.000882496,0.000882496,0.000882496
21,45.3139,2.8922,3.18069,7.82368,2.06878,0.34079,0.16667,0.16505,0.06602,0.34079,0.16667,0.16505,0.0337,3.8446,5.7605,6.14884,3.60454,0.000863116,0.000863116,0.000863116
22,46.5785,2.8419,2.65032,7.83717,1.80968,0.71093,0.16667,0.16506,0.09903,0.71093,0.16667,0.16553,0.06612,4.08627,6.27319,6.69715,3.76355,0.000834822,0.000834822,0.000834822
23,47.6624,3.04926,3.449,7.55094,1.83276,0.70864,0.16667,0.16506,0.08253,0.70864,0.16667,0.16506,0.08253,4.19447,4.39819,6.94702,3.11637,0.000806528,0.000806528,0.000806528
24,48.7793,3.16123,3.68118,7.91035,1.93299,0.71385,0.16667,0.16505,0.09903,0.71385,0.16667,0.16545,0.08261,4.46648,2.8894,7.57796,3.42183,0.000778233,0.000778233,0.000778233
25,49.8709,2.88009,2.65932,8.54552,1.76169,0.35566,0.16667,0.16505,0.08253,0.35566,0.16667,0.16505,0.08253,4.5792,2.7063,7.41017,3.62934,0.000749939,0.000749939,0.000749939
26,50.9516,2.99266,2.89315,8.85852,1.77515,0.35053,0.16667,0.08255,0.03302,0.35053,0.16667,0.17735,0.05901,4.69717,2.54883,7.3263,3.71128,0.000721645,0.000721645,0.000721645
