epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.6787,1.9908,2.95757,20.1484,1.33885,0.00042,0.16667,0.08261,0.02497,0.01233,0.33333,0.25064,0.21765,2.45561,2.07773,10.6007,1.417,0.000462724,0.000462724,0.000462724
2,30.3575,1.66663,2.37354,25.8261,0.98932,0,0,0,0,0.00027,0.16667,0.00046,9e-05,2.91676,10.3855,14.7455,2.16933,0.000923563,0.000923563,0.000923563
3,37.7959,1.66979,3.29528,25.23,1.07605,0,0,0,0,0,0,0,0,3.04942,4.12576,13.7875,3.95665,0.00136868,0.00136868,0.00136868
4,45.3162,2.43258,3.03745,23.3702,1.59908,0,0,0,0,0,0,0,0,3.55516,2.94739,15.477,2.79141,0.00135826,0.00135826,0.00135826
5,52.4619,2.20109,2.99858,25.2758,1.48161,0,0,0,0,0,0,0,0,2.5367,5.00236,14.4345,2.80751,0.00133469,0.00133469,0.00133469
6,63.0956,2.08043,2.15943,23.8555,1.38384,0,0,0,0,0,0,0,0,2.64958,3.69551,13.9986,2.06013,0.00131111,0.00131111,0.00131111
7,71.1002,2.47443,3.60889,19.0057,1.76621,0,0,0,0,0,0,0,0,2.48313,3.94884,12.3111,2.05171,0.00128753,0.00128753,0.00128753
8,78.4826,2.47197,3.36056,22.174,1.66395,0,0,0,0,0,0,0,0,2.72528,3.05254,13.564,2.43272,0.00126395,0.00126395,0.00126395
9,86.2512,2.54655,2.76077,19.8897,1.85608,0,0,0,0,0,0,0,0,3.35111,2.88897,12.0881,3.19254,0.00124037,0.00124037,0.00124037
10,96.289,2.03443,2.5743,23.8301,1.17736,0,0,0,0,0,0,0,0,3.09857,2.86567,11.9814,2.44622,0.00121679,0.00121679,0.00121679
11,103.861,2.54255,3.094,15.1779,1.73162,0,0,0,0,0.00015,0.16667,0.00014,1e-05,3.11045,2.74783,12.4487,2.51504,0.00119322,0.00119322,0.00119322
12,111.68,2.39848,2.89467,17.6958,1.62257,0,0,0,0,0.00015,0.16667,0.00017,2e-05,3.32418,3.32607,11.9767,2.47333,0.00116964,0.00116964,0.00116964
13,119.368,2.76065,2.6147,18.0565,1.77268,0,0,0,0,0.00018,0.16667,0.00085,0.00026,3.1046,3.34454,12.9479,1.82912,0.00114606,0.00114606,0.00114606
14,129.928,2.45249,2.58386,15.3769,1.74888,0,0,0,0,0.0002,0.16667,0.00175,0.00035,3.00788,2.88079,12.9324,1.8891,0.00112248,0.00112248,0.00112248
15,137.581,1.84441,2.36006,18.749,1.12917,0,0,0,0,0.00018,0.16667,0.00043,0.00017,3.16276,2.63538,13.696,2.14999,0.0010989,0.0010989,0.0010989
16,144.781,2.12382,2.38466,14.9384,1.5896,0,0,0,0,0.00016,0.16667,0.00018,5e-05,3.15814,2.2901,10.7767,2.36607,0.00107532,0.00107532,0.00107532
17,152.759,2.52407,2.62644,13.4054,1.75028,0.00016,0.16667,0.16504,0.01668,0.00016,0.16667,0.16504,0.03319,3.04668,2.24573,10.7672,2.3657,0.00105174,0.00105174,0.00105174
18,163.161,2.05991,1.96756,16.7984,1.50365,0.00015,0.16667,0.16504,0.04127,0.00015,0.16667,0.16504,0.04264,3.14667,2.11778,10.594,2.44591,0.00102817,0.00102817,0.00102817
19,170.391,1.81858,1.95269,18.8417,1.30016,0.00015,0.16667,0.05504,0.01913,0.00015,0.16667,0.05504,0.01376,3.12012,2.23614,11.0155,2.33861,0.00100459,0.00100459,0.00100459
20,177.325,1.80787,2.54191,19.0057,1.20988,0.00014,0.16667,0.04128,0.01475,0.00014,0.16667,0.04128,0.01239,3.06145,2.21301,10.5991,2.32379,0.000981008,0.000981008,0.000981008
21,184.769,1.95825,2.46936,18.2737,1.21101,0,0,0,0,0.00013,0.16667,0.00013,5e-05,3.12837,3.05388,11.5242,2.21823,0.00095743,0.00095743,0.00095743
